testDataTimeStamps,i,a,list_predict_future,list_actual_future,list_loss_future,list_loss_past
2020-04-10,12,4,6.224953475502239,4.0,2.2487103680684175,0.16112125797420818
2020-04-10,12,5,5.978259046405714,4.0,1.9782590464057155,0.1478080368979547
2020-04-10,12,6,5.386941096628954,4.0,1.3869410966289528,0.1258297938577208
2020-04-10,15,1,4.85514823138231,4.0,1.3390892103834264,0.14595243696795884
2020-04-10,15,2,5.898712326710857,4.0,2.2516092689571074,0.1593911060652096
2020-04-10,15,3,6.8622756111119205,4.0,2.8876038275418354,0.17034941430904388
2020-04-10,15,4,5.175228604432437,4.0,1.1752286044324372,0.10118269850446937
2020-04-10,15,5,5.768657511379125,4.0,1.768657511379125,0.16039686508826126
2020-04-10,15,6,5.5198678122663685,4.0,1.536086955834495,0.20085178605668114
2020-04-10,30,1,5.4636317575868425,4.0,1.6736471380762916,0.10126980067106861
2020-04-10,30,2,5.267108203155116,4.0,1.3110357837368958,0.11174545843768366
2020-04-10,30,3,5.452361341704478,4.0,1.4872140452282592,0.09931643933929918
2020-04-10,30,4,5.768622174042768,4.0,1.768622174042769,0.12521790996308615
2020-04-10,30,5,4.823202658817699,4.0,1.7218710433338122,0.13695452454789747
2020-04-10,30,6,5.111339371863462,4.0,1.1113393718634608,0.10993571541758747
2020-04-11,1,1,4.936221311707706,2.0,2.953729346516039,0.25332452249618176
2020-04-11,1,2,4.860149668617806,2.0,2.860149668617807,0.12818314869804898
2020-04-11,1,3,5.029554275757263,2.0,3.0295542757572624,0.1787353664322141
2020-04-11,1,4,3.797108797497501,2.0,1.9099411256849073,0.09184598600808691
2020-04-11,1,5,5.374760588468716,2.0,3.374760588468714,0.21186118041043586
2020-04-11,1,6,5.120832108972209,2.0,3.120832108972208,0.34277399686807286
2020-04-11,3,1,4.606784875782993,2.0,2.6067848757829934,0.19908090038447823
2020-04-11,3,2,4.723113471624816,2.0,2.723113471624817,0.1197889386823514
2020-04-11,3,3,4.655291528279883,2.0,2.655291528279882,0.1641704442238952
2020-04-11,3,4,4.85727146804352,2.0,2.8572714680435207,0.1437964328171939
2020-04-11,3,5,4.464964148830671,2.0,2.46496414883067,0.15318098479448938
2020-04-11,3,6,4.761211916027701,2.0,2.761211916027702,0.14934084909512332
2020-04-11,5,1,5.415116046052716,2.0,3.4151160460527157,0.12612753895123224
2020-04-11,5,2,4.234246890658488,2.0,2.234246890658488,0.16770909555366384
2020-04-11,5,3,4.742733618052998,2.0,2.7427336180529993,0.11656999165100118
2020-04-11,5,4,3.977874420791264,2.0,2.212714143176845,0.13633997057565575
2020-04-11,5,5,4.386486879449206,2.0,2.3864868794492056,0.10158224807905256
2020-04-11,5,6,5.144620713538259,2.0,3.1446207135382584,0.15497866721478026
2020-04-11,7,1,4.940610559392259,2.0,2.940610559392259,0.12988263788822252
2020-04-11,7,2,4.1501397674630764,2.0,2.1501397674630764,0.11965010801740444
2020-04-11,7,3,4.307988252114238,2.0,2.307988252114238,0.09022712040104372
2020-04-11,7,4,3.7795065160246324,2.0,1.8943210936658272,0.2552848584297487
2020-04-11,7,5,5.100776105659943,2.0,3.1007761056599437,0.1395494835090278
2020-04-11,7,6,4.24302051630483,2.0,2.2430205163048282,0.09514114772235135
2020-04-11,9,1,4.756421092838918,2.0,2.7564210928389183,0.17855050171155937
2020-04-11,9,2,4.738906501300552,2.0,2.7389065013005514,0.1405542665145977
2020-04-11,9,3,4.215432578164958,2.0,2.3128959659672423,0.1482316555331386
2020-04-11,9,4,4.315278264679499,2.0,2.315278264679499,0.11013371399458094
